動画ID,いい,うい,うまい,ええ,おおい,かっこいい,かっこよい,かわいい,かわゆい,くい,こい,こわい,すい,すごい,っぽい,ない,ほしい,ぽい,やばい,よい,イイ,凄い,可愛い,怖い,懐かしい,早い,欲しい,良い,重い,高い
sm1718025,0.08234116724743329,0.556399528085379,0.0,0.3078675413261931,0.0,0.0,0.0,0.34286094185959487,0.0,0.0,0.18828527737215292,0.0,0.0,0.0,0.0,0.2999908949394105,0.0,0.0,0.1478956209066011,0.32400994920279963,0.0,0.0,0.14748278075624938,0.0,0.2515816188898276,0.26259413835793743,0.212798060311461,0.140423739891505,0.0,0.0
sm17201316,0.817561917248757,0.0,0.0,0.11756936963955027,0.12980132668403668,0.20466689647053143,0.0,0.17457700427403702,0.0,0.0,0.0,0.0,0.0,0.18417142449074725,0.12770490360813067,0.11456141255976672,0.0,0.0,0.0,0.2474677604571163,0.14325984700257782,0.0,0.0,0.19346642309414366,0.0,0.0,0.0,0.21450173682298213,0.0,0.0
sm17202463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm17191781,0.3099302815596787,0.09185417431672482,0.08637231430300699,0.0,0.13467042522002384,0.21234434716712947,0.0,0.0,0.01916608414501072,0.022623559395825596,0.05595011869860778,0.0,0.0,0.035827509456895903,0.04968576047411901,0.029714708118479788,0.018579225079643776,0.8942242664508099,0.058597447874257476,0.08023461070367822,0.018579225079643776,0.04046843441588262,0.04382540793671906,0.0,0.0,0.026010483339855266,0.0,0.04172777088408786,0.0,0.0
sm17211747,0.03669725175225327,0.027552484430253255,0.0,0.1829444176883339,0.025247252109740832,0.0,0.0,0.4923682323207997,0.028745195246841382,0.0,0.0,0.0,0.0,0.01791130531680398,0.0,0.044565967680516336,0.0,0.0,0.0,0.24067091981665203,0.0,0.0,0.8106591873459955,0.0,0.03737439530863272,0.0,0.0,0.04172206529698846,0.0,0.0
sm17213108,0.13321108158407835,0.0,0.0,0.0,0.0,0.0,0.0,0.2773392606932964,0.0,0.0,0.0,0.0,0.0,0.2925812991321411,0.6762552280939198,0.4853235983426039,0.0,0.1659677549203021,0.11963235572866675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2271767439829652,0.0,0.1827767156114103
sm17213446,0.20498611799685365,0.0,0.0,0.0,0.0,0.0,0.0,0.9483811997486604,0.0,0.0,0.0,0.0,0.0,0.10005024272485509,0.0,0.12446987544566412,0.0,0.0,0.0,0.1344356735512717,0.0,0.0,0.12238480341090464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm17228726,0.4728986165986409,0.0,0.0,0.0,0.0,0.3847497578201878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40323810405037763,0.6824467405726656,0.0
sm17235354,0.20399255435967234,0.0,0.0,0.0,0.0,0.6638724084373309,0.28929327663025595,0.0,0.0,0.0,0.0,0.0,0.0,0.14934795178223984,0.0,0.18579985865224066,0.0,0.0,0.0,0.0,0.0,0.5060813227152196,0.0,0.0,0.0,0.0,0.0,0.3478867054085786,0.0,0.0
sm17323674,0.8068698708098431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5907292201840935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm17336304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm17457529,0.19562585527195953,0.0,0.0,0.0,0.0,0.10610731038662101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749214139773685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm1884912,0.1582855120677333,0.35652471767287897,0.0,0.0,0.6533907643230713,0.5151236252077446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3944160014602263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm1986944,0.7305455539691003,0.0,0.0,0.6828639641802609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
