動画ID,aa,ccc,gj,gumi,intro,joy,ktkr,meiko,mirai,wktk,wr,www,yyy,いい,いいね,うい,うぽつ,ええ,おおい,お前,かっこ,かっこいい,かわいい,かわゆい,きた,きれい,ここ,こと,これ,さん,すき,すぎ,すこっぷ,すごい,そう,それ,たま,ちゃん,ちょ,っぽい,ない,なに,なん,ほしい,みたい,もきゅもきゅ,やばい,よい,よさげ,りんり,アブ,カラオケ,コピー,コメ,サビ,タグ,ダイヤ,ネギ,ハート,マイリス,ミク,ミリオン,リリン,リン,ルカ,レン,一番,中毒,久々,久しぶり,乖離,今日,共感,再生,初見,動画,可愛い,大好き,好き,好きだ,小説,弾幕,忍者,愛愛愛,感じ,支援,最高,期待,歌詞,殿堂入り,画質,神曲,素敵,綺麗,職人,脚気,良い,調教,配信,鳥肌
sm12671927,0,0,0,0,1,0,1,0,0,2,0,0,0,13,3,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0
sm12718205,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,11,2,0,0,6,0,1,1,0,0,0,1,0,0,0,0,1,2,2,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0
sm12835874,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sm12757490,0,0,2,0,0,0,1,0,0,0,0,8,0,50,4,1,0,12,3,0,0,0,130,7,4,2,3,1,25,10,0,5,0,4,2,0,0,22,3,2,7,5,6,1,2,0,0,6,0,328,0,0,1,3,0,2,0,0,9,5,0,0,353,1236,0,0,0,12,1,1,0,2,0,3,5,5,27,2,1,0,0,4,0,0,0,1,5,0,0,20,19,0,1,1,1,0,2,7,3,0
sm12864126,0,0,0,0,2,1,2,0,0,2,0,2,0,20,4,2,0,7,4,0,6,28,16,1,4,2,4,1,28,18,1,0,0,15,2,0,0,1,3,14,10,3,5,1,8,0,3,1,0,0,0,1,0,1,0,1,0,0,0,15,2,0,0,0,34,0,0,0,1,0,0,1,0,1,4,6,7,3,2,5,0,0,0,0,2,0,3,1,3,22,14,1,3,1,0,29,1,8,4,0
sm12875825,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,1
sm12888483,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,0,0
sm12894209,1,0,0,62,3,2,5,0,0,10,0,30,0,20,16,1,0,15,16,3,10,37,13,1,7,0,3,4,21,14,5,2,0,1,1,22,0,7,1,0,8,3,0,1,3,0,10,5,0,0,0,4,117,4,1,3,31,0,81,4,1,168,0,0,0,0,2,9,7,4,0,9,0,5,120,3,6,14,33,4,0,0,0,0,1,37,21,1,6,1,4,6,1,0,6,31,8,1,0,1
sm12929188,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
sm12957824,0,0,0,0,0,0,0,0,0,0,0,19,0,21,3,2,0,3,0,0,0,0,92,6,2,0,1,0,5,7,0,0,0,0,0,0,0,1,2,1,1,1,1,1,2,0,3,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,14,2,0,2,0,3,0,0,1,2,1,1,2,0,0,0,1,0,1,1,2,0,0,0
sm12967128,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0
sm12981881,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1
sm12990765,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,0,0,4,1,0,0,0,4,0,6,12,2,0,0,1,3,0,0,0,0,1,2,2,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4,0,0,0,0,0,1,0,0,0,10,0,0,0,1,0,0,2,2,1,0,0
sm13087456,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,9,2,0,2,6,1,0,0,0,3,0,4,3,1,2,0,4,1,0,0,0,0,0,2,0,1,1,1,0,7,1,1,0,0,0,0,0,4,0,0,0,0,5,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,1,0,0,0,5,0,0,1,1,0,0,17,1,1,1,4
