動画ID,gumi,wktk,wr,www,yyy,いい,いいね,ええ,かっこいい,かわいい,きた,これ,さん,すごい,ない,ダイヤ,ハート,ミク,ミリオン,リン,レン,中毒,初見,可愛い,大好き,好き,最高,神曲,脚気,良い
sm15800552,0.16287575221266923,0.0,0.0,0.10802065979897094,0.0,0.8792382110997633,0.0807450748276875,0.0,0.0,0.16813888742728925,0.0,0.07077350806192996,0.09009956411798536,0.32369834283587673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07863542203261364,0.0,0.0,0.0,0.17280559688575411
sm15815944,0.0,0.9494897260166316,0.0,0.026431390632026437,0.0,0.0286852393599906,0.0,0.02519414477190073,0.0964864070261687,0.0,0.0,0.03463489746248641,0.0,0.03960259714371871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2695423178266734,0.0,0.02442828378003653,0.0,0.025867422994132677,0.0,0.10157046621157531,0.0
sm15825105,0.0,0.0,0.0,0.7590438713650242,0.0,0.10297110090594919,0.0,0.0,0.0,0.0,0.0,0.435149840254748,0.0,0.0,0.3543563503754822,0.0,0.0,0.2862004062214601,0.0,0.0,0.0,0.1281205474345179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm15841119,0.0,0.0,0.0,0.0,0.0,0.3313136210589889,0.2281970584261101,0.0,0.557207497794118,0.0,0.0,0.20001599340509946,0.0,0.0,0.0,0.0,0.0,0.30695373782718993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22223487976488981,0.0,0.0,0.5865678604052919,0.0
sm15844332,0.0,0.0,0.0,0.0,0.0,0.23233323797842803,0.6400915399955874,0.0,0.39074101986684046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3116838302179586,0.0,0.0,0.41132993526328976,0.342471045034348
sm15853580,0.09017416722327556,0.671355899631187,0.0,0.0,0.0,0.12980786053126878,0.04470352266100805,0.05700489352229264,0.2728906561758825,0.0,0.0634328763202851,0.11754866020734601,0.0,0.0896058133277774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6098730981572539,0.0,0.0,0.13060661761579614,0.0,0.0,0.1723618820113155,0.0
sm15875228,0.0,0.0,0.0,0.0,0.0,0.5033230969670744,0.26667005999350596,0.0,0.1302300370481789,0.055529835464468165,0.0,0.5609707048342458,0.23805148457667247,0.42762066510212626,0.06661904095560917,0.0,0.0,0.0717409525312635,0.0,0.0,0.0,0.0,0.0808461744762758,0.0,0.0,0.2597026847247558,0.0,0.0,0.06854605734332471,0.11414214176425806
sm15922203,0.0,0.6582235751679693,0.0,0.0,0.0,0.21211450362551174,0.02921938773428101,0.0,0.07134737861560436,0.0,0.041461381519263645,0.051221912365302345,0.03260451617973347,0.05856869541857471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7086736978011442,0.038877847459197146,0.0,0.05691192660166779,0.0,0.0,0.0,0.0
sm15933955,0.0,0.6232963072694763,0.0,0.0,0.0,0.25107385965768025,0.13834460783940208,0.08820691491217948,0.0,0.6481818749932882,0.0981532984011293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10485459357069019,0.27611156379942564,0.0,0.06736501666884007,0.0,0.0,0.0,0.0
sm15942116,0.0,0.0,0.0,0.0,0.0,0.7182128945599858,0.0,0.0,0.0,0.4120368593041515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5265565697898507,0.0,0.1927019550333715,0.0,0.0,0.0,0.0
sm15970184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6699858218456819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.742373894022255,0.0,0.0,0.0,0.0,0.0
sm15955450,0.0,0.0,0.0,0.10484865050815688,0.0,0.09482439139222512,0.05224933913332651,0.0,0.22326762891328966,0.08160075802861431,0.0,0.04579683692503059,0.02915126830591073,0.02618274942437733,0.0,0.0,0.0,0.0,0.0,0.6940661871157399,0.6451235056463953,0.0,0.0,0.03476017114291037,0.0,0.025442101839909557,0.06840766044225707,0.050515143581081945,0.10072801751172505,0.0
sm15987636,0.0,0.0,0.0,0.0,0.0,0.11906174644288699,0.05467033566262537,0.0,0.734211765547359,0.0,0.0,0.04791885387466978,0.06100401075729077,0.16437563307147468,0.06828823098202388,0.0,0.0,0.0,0.0,0.387320562529307,0.41539421058929116,0.09876075907747645,0.0,0.0,0.06759513938982523,0.15972583813945734,0.14315472005224542,0.0,0.14052706042067067,0.0585010293586663
sm16007598,0.0,0.0,0.0,0.0,0.0,0.19994622371347362,0.0,0.0,0.0,0.5735431281771844,0.0,0.0,0.6146821433438726,0.0,0.0,0.0,0.0,0.3704902957935124,0.0,0.0,0.0,0.0,0.0,0.0,0.3405474873207405,0.0,0.0,0.0,0.0,0.0
sm15980251,0.0,0.0,0.0,0.11062084998894989,0.0,0.4802146968829934,0.0,0.10544271953800881,0.0,0.5165585919772439,0.0,0.36238556740351785,0.27680511445442163,0.1657450801131855,0.10328573131622609,0.0,0.0,0.11122670997998392,0.0,0.0,0.0,0.44812599828576427,0.0,0.11002143543919916,0.0,0.0,0.0,0.0,0.0,0.08848262011139864
sm16011363,0.0037686532632358167,0.0,0.12212539478285811,0.007498213942552934,0.9278807577358611,0.08408852446166637,0.04857570771429895,0.05479538925609473,0.18704088781281122,0.001945216394004179,0.00530210643917478,0.026201156008536126,0.02501691099257129,0.007489800043652925,0.014002035072040482,0.0,0.0,0.0,0.004787257237682138,0.0,0.2164832660565015,0.013500145803144185,0.0028320506024982167,0.0,0.04157976413321991,0.049126037284414496,0.036691121260472546,0.01445029009239426,0.1488729190199392,0.009996030221836998
sm16049992,0.24192885781159482,0.0,0.0,0.0,0.0,0.36070029160925526,0.13706899513698112,0.5899067937289674,0.0,0.6243662490639338,0.0,0.15017717261810856,0.07647436541663521,0.05151514659876835,0.04280291627506436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022797138721651396,0.0,0.13348774898263935,0.0224322676420975,0.0,0.0,0.05500247902826542
sm16065869,0.4254947334348671,0.0,0.0,0.0,0.0,0.0,0.21093750066078204,0.5379652004701889,0.0,0.658866130599623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22571767247143898
sm16069888,0.0,0.21209174198954223,0.0,0.0,0.0,0.1025207914279771,0.14122536197940241,0.0,0.0,0.44111932443693624,0.20039429526972583,0.12378481679443464,0.31517324329447965,0.2830786629195983,0.0,0.0,0.0,0.5698976100028744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4126065632358888,0.0,0.0,0.0,0.0
sm16070272,0.0,0.0,0.0,0.0,0.0,0.05877128665569565,0.16191830196271462,0.2064744568943292,0.09884230378119713,0.08429233363219117,0.0,0.07096114700362331,0.0,0.0811391377925838,0.0,0.0,0.0,0.0,0.0,0.4301758465528038,0.0,0.0,0.0,0.0,0.10009898474444369,0.0,0.10599609874287642,0.0,0.8324039985246402,0.0
sm16076097,0.0,0.0,0.0,0.0,0.0,0.42578680525554113,0.0,0.0,0.0,0.20356064719747322,0.277424203701727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8368419627285002
sm16079453,0.0,0.0,0.0,0.0,0.0,0.6037626306510572,0.0,0.0,0.20308314738848093,0.3463770422154351,0.0,0.2915960580541207,0.18561096128094476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3004897416030206,0.0,0.44264755223823765,0.20566514634556968,0.16199408306896215,0.0,0.0,0.0,0.0
sm16085344,0.0,0.0,0.0,0.0,0.0,0.2863627050173079,0.7889458540101345,0.0,0.0,0.0,0.0,0.0,0.0,0.39534991155080657,0.0,0.0,0.0,0.2653078445685679,0.0,0.0,0.0,0.0,0.0,0.2624329164997028,0.0,0.0,0.0,0.0,0.0,0.0
sm16137694,0.0,0.0,0.0,0.09649514453834837,0.0,0.10472344632542693,0.0,0.09197823433243425,0.0,0.9762929682854198,0.0,0.0,0.0,0.07229014902543053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08918224572422712,0.07024523298591595,0.0,0.0,0.0,0.0
sm16187258,0.0,0.0,0.0,0.0,0.0,0.5386281368843802,0.12366264531038558,0.0,0.0,0.0,0.0,0.6503459865641056,0.0,0.37181270910111164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2233938491936437,0.0,0.0,0.0,0.12043167121218804,0.16190582292721048,0.0,0.1589339796315968,0.13232755855967604
sm16201802,0.0,0.0,0.0,0.0,0.0,0.7818238076529868,0.1196649953221931,0.0,0.14609792316541712,0.24918348543738117,0.0,0.0,0.2670568809730866,0.11993103221440847,0.0,0.0,0.0,0.16096446577603024,0.0,0.0,0.0,0.0,0.0,0.3184404462304002,0.0,0.23307693824725353,0.0,0.0,0.15379611103592739,0.0
sm16229812,0.0,0.0,0.0,0.0,0.0,0.4871083909118305,0.47928994883829634,0.24447176306007984,0.0,0.2994137249537361,0.0,0.08402006222793824,0.0,0.09607109938775442,0.0,0.0,0.0,0.0,0.0,0.5093407156239609,0.0,0.0,0.0,0.0,0.0,0.1867069538709034,0.12550246421242922,0.0,0.12319881848734382,0.20514931930422584
sm16231559,0.44181806424893794,0.23922768621968638,0.0,0.053275946026256384,0.0,0.3324585296975593,0.15929435189200328,0.02539105709063795,0.6077532824224817,0.0,0.0,0.08726399196721352,0.06665585348032761,0.0,0.049743290233580276,0.0,0.044535301313178344,0.0,0.0,0.0,0.0,0.0,0.12073289148451638,0.0,0.04923842056960746,0.11634931246739137,0.026069597518715553,0.0,0.4350483614749659,0.042613985462844575
sm16253955,0.0,0.0,0.0,0.0,0.0,0.22372967673912483,0.10273137166592732,0.13100065844079956,0.6271190670218918,0.10696094203051876,0.0,0.09004461976569399,0.0,0.102959762055092,0.0,0.0,0.0,0.0,0.0,0.0,0.5854274057223751,0.0,0.0,0.0,0.12701845165756986,0.20009455150494018,0.13450146750674594,0.0,0.2640652832696157,0.10992965228843571
sm16238717,0.0,0.0,0.0,0.3466258377105727,0.0,0.24183205749988332,0.07402903760721596,0.0944001088763859,0.09038139030740404,0.019269224852340647,0.1575672734649221,0.1784388760305578,0.14455955438466808,0.24112925695643916,0.13870352060837515,0.0,0.0,0.024894591058721282,0.09484470357460305,0.22945576540049026,0.0,0.4346284423272912,0.028054164061619407,0.024624828365823827,0.2288262480604859,0.5407114267341848,0.19384563906460625,0.0,0.07135782308603009,0.0594121315970019
sm16258483,0.0,0.0,0.0,0.0,0.0,0.2147371167021673,0.0,0.0,0.0,0.923955916958967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31653346462412846
sm1632617,0.0,0.44723738205764574,0.0,0.0,0.0,0.16213902272178243,0.0,0.0,0.0,0.0,0.6338565034757803,0.4567933411458636,0.0,0.22384775380619687,0.0,0.0,0.0,0.30043545395459376,0.0,0.0,0.0,0.0,0.0,0.0,0.09205147890776372,0.07250521143601789,0.0,0.0,0.09568531003155648,0.0
sm16352396,0.0,0.0,0.0,0.0,0.0,0.08403333460730697,0.11575835430991989,0.0,0.0,0.12052426074048204,0.0,0.10146284264981086,0.5166768270929992,0.0,0.0,0.0,0.0,0.7785477119035581,0.0,0.0,0.0,0.0,0.17547189417991357,0.0,0.0,0.22546779637982456,0.0,0.0,0.0,0.0
sm16353783,0.0,0.0,0.0,0.06361631484308161,0.0,0.5424648745089108,0.2581447398903447,0.15592745129588925,0.05805700627814332,0.4880349297263936,0.019278903815358746,0.1369500518767298,0.15918627738863653,0.37446119274427686,0.12728143543981849,0.0,0.0,0.06396473541609562,0.0,0.0,0.0,0.13499107239721328,0.0,0.108465601615201,0.07559375529194517,0.21170535446640298,0.195670925973904,0.18389863462177275,0.03492351114535775,0.10176993251651574
sm16386722,0.6176302077677583,0.0,0.0,0.0,0.0,0.6668200411929192,0.2041253191038981,0.0,0.0,0.21252939651807098,0.0,0.1789169797423978,0.0,0.10228956327333666,0.12748556206300904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13579944061200516,0.0,0.09939603529708357,0.0,0.0,0.0,0.0
