動画ID,ccc,gumi,wktk,wr,www,yyy,いい,いいね,ええ,かっこいい,かわいい,きた,ここ,これ,さん,すごい,ない,やばい,ダイヤ,ハート,ミク,リン,レン,中毒,乖離,可愛い,大好き,好き,愛愛愛,最高
sm16833058,0,0,5,0,0,0,11,4,3,0,53,3,0,6,7,0,0,1,0,0,0,0,0,0,0,7,3,3,0,0
sm16844849,0,0,97,0,1,0,19,6,2,0,12,3,2,12,1,1,0,4,0,0,1,0,0,0,0,1,15,15,0,3
sm16846374,0,0,0,0,0,0,13,0,3,0,50,5,6,1,8,0,3,2,0,1,0,0,0,0,0,44,17,11,0,2
sm16859428,0,0,1,0,4,0,57,17,3,3,52,0,6,18,27,7,10,3,0,0,7,0,0,3,0,15,4,21,0,8
sm16913043,0,0,0,2,0,11,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm16969007,0,0,1,5,0,24,18,13,4,5,8,1,4,2,5,2,2,4,0,1,0,3,12,0,0,3,3,2,0,3
sm17015301,0,0,4,0,0,0,3,4,2,0,8,1,0,1,0,0,1,1,0,1,2,0,0,0,0,6,0,1,0,0
sm16980824,0,3,51,0,0,0,11,2,3,31,1,0,2,3,1,2,0,2,0,0,2,0,0,0,0,0,0,2,0,1
sm16973327,0,0,0,0,9,0,24,4,7,23,6,3,34,16,8,8,9,4,0,135,25,0,0,11,0,6,15,18,0,29
sm17020500,0,0,0,0,1,0,2,0,0,4,0,0,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
sm17067188,0,3,0,0,0,0,8,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
sm17092280,0,0,0,0,0,0,1,3,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sm17134469,0,0,1,0,0,0,5,4,1,0,0,2,0,5,1,0,0,1,0,0,2,0,0,0,0,0,2,3,0,1
sm17112691,0,13,0,0,2,0,22,16,3,23,14,0,1,4,3,7,1,7,0,0,16,0,0,0,0,2,1,4,0,2
sm17142789,0,5,14,0,3,0,21,7,0,0,0,2,3,13,13,9,4,2,0,12,0,0,0,0,0,1,14,14,0,5
sm17147346,0,1,0,0,0,0,5,0,0,2,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
sm1718025,0,0,0,0,4,0,1,0,2,0,3,0,3,12,0,0,2,1,0,0,5,0,0,2,0,1,2,5,0,0
sm17201316,0,0,4,0,3,0,13,8,1,2,2,0,0,5,3,2,1,0,0,0,1,0,0,0,0,0,5,1,0,0
sm17202463,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sm17191781,0,0,637,0,11,0,38,14,0,16,0,19,1,18,4,3,2,4,0,0,0,0,0,11,0,3,14,23,0,2
sm17211747,0,0,0,0,5,0,3,0,8,0,29,1,1,1,1,1,2,0,0,0,12,0,0,0,0,37,0,7,0,0
sm17213108,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,3,4,1,0,0,0,0,0,0,0,0,0,2,0,0
sm17213446,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
sm17228726,0,0,5,0,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0
sm17235354,0,0,0,0,0,0,2,1,0,4,0,1,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0
sm17323674,0,0,13,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,2,0,0
sm17336304,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm17457529,0,0,18,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
sm1884912,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
